# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 19583.999999999996
  1 0.005 192 0
  2 0.015 192 0.00281606
  3 0.025 196.798 1099.07
  4 0.035 209.939 1098.53
  5 0.045 193.26 1097.88
  6 0.055 192.002 1092.34
  7 0.065 192 1069.65
  8 0.075 192.023 1066.46
  9 0.085 194.654 1064.72
  10 0.095 206.708 1061.76
  11 0.105 198.397 1059.38
  12 0.115 192.217 1057.61
  13 0.125 192.001 1055.77
  14 0.135 192.027 1053.89
  15 0.145 193.445 1053.15
  16 0.155 202.642 1051.66
  17 0.165 202.446 1048.54
  18 0.175 193.417 1047.39
  19 0.185 192.023 1045.92
  20 0.195 192.013 1044.22
  21 0.205 192.816 1042.34
  22 0.215 199.265 1039.69
  23 0.225 203.94 1038.69
  24 0.235 195.779 1036.11
  25 0.245 192.186 1035.19
  26 0.255 192.007 1034.3
  27 0.265 192.452 1032.57
  28 0.275 196.799 1030.44
  29 0.285 203.598 1029.14
  30 0.295 198.414 1027.48
  31 0.305 192.717 1025.33
  32 0.315 192.018 1024.26
  33 0.325 192.227 1023.37
  34 0.335 195.052 1022.38
  35 0.345 202.285 1020.99
  36 0.355 200.645 1018.45
  37 0.365 193.716 1017.03
  38 0.375 192.071 1014.81
  39 0.385 192.109 1013.6
  40 0.395 193.862 1012.75
  41 0.405 200.473 1010.98
  42 0.415 202.147 1009.16
  43 0.425 195.187 1007.64
  44 0.435 192.219 1005.99
  45 0.445 192.046 1003.97
  46 0.455 193.076 1002.59
  47 0.465 198.625 1001.66
  48 0.475 202.928 1000.21
  49 0.485 196.802 998.535
  50 0.495 192.515 996.732
  51 0.505 192.029 995.947
  52 0.515 192.62 994.303
  53 0.525 196.897 992.806
  54 0.535 202.819 991.794
  55 0.545 198.626 990.147
  56 0.555 192.983 988.946
  57 0.565 192.037 987.825
  58 0.575 192.29 986.08
  59 0.585 195.397 984.582
  60 0.595 202.304 982.254
  61 0.605 200.305 980.659
  62 0.615 193.629 980.074
  63 0.625 192.072 979.549
  64 0.635 192.096 977.378
  65 0.645 194.111 976.287
  66 0.655 201.324 974.753
  67 0.665 201.833 972.443
  68 0.675 194.508 971.058
  69 0.685 192.126 969.717
  70 0.695 192.025 967.941
  71 0.705 193.139 966.957
  72 0.715 199.867 964.63
  73 0.725 203.251 963.578
  74 0.735 195.536 962.031
  75 0.745 192.184 960.14
  76 0.755 192.006 959.255
  77 0.765 192.441 957.367
  78 0.775 198.011 955.893
  79 0.785 204.566 954.017
  80 0.795 196.736 953.415
  81 0.805 192.239 951.881
  82 0.815 192.001 950.68
  83 0.825 192.115 948.845
  84 0.835 195.793 947.2
  85 0.845 205.675 945.049
  86 0.855 198.151 943.902
  87 0.865 192.265 941.544
  88 0.875 192.001 940.807
  89 0.885 192.01 939.013
  90 0.895 193.614 937.41
  91 0.905 206.339 935.061
  92 0.915 199.851 933.097
  93 0.925 192.185 930.878
  94 0.935 192 928.156
  95 0.945 192 906.152
  96 0.955 192.133 900.347
  97 0.965 205.218 899.046
  98 0.975 202.635 899.357
  99 0.985 192.014 0.0632354
  100 0.995 192 0
