# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 1950
  1 0.005 24 0
  2 0.015 24 0
  3 0.025 9.94153 381.266
  4 0.035 14.0585 378.188
  5 0.045 23 378.828
  6 0.055 24 373.233
  7 0.065 24 361.542
  8 0.075 23.852 356.826
  9 0.085 0.203563 357.084
  10 0.095 22.9444 353.644
  11 0.105 24 351.267
  12 0.115 24 350.427
  13 0.125 24 349.041
  14 0.135 13.9514 347.951
  15 0.145 10.0487 347.817
  16 0.155 24.0012 346.77
  17 0.165 23.9987 345.89
  18 0.175 23 344.345
  19 0.185 22.9773 343.398
  20 0.195 1.55761 337.951
  21 0.205 23.4651 342.89
  22 0.215 24 342.195
  23 0.225 24 341.92
  24 0.235 24 341.524
  25 0.245 20.0421 341.45
  26 0.255 3.97199 339.497
  27 0.265 23.9859 340.453
  28 0.275 24 338.962
  29 0.285 24 337.293
  30 0.295 22.9977 334.194
  31 0.305 2.97662 334.874
  32 0.315 20.0257 329.61
  33 0.325 23 328.385
  34 0.335 23.9993 325.008
  35 0.345 24.0007 323.089
  36 0.355 20.2174 322.098
  37 0.365 3.78344 318.066
  38 0.375 22.9992 319.049
  39 0.385 24 317.247
  40 0.395 24 316.53
  41 0.405 23.997 315.194
  42 0.415 3.08024 314.593
  43 0.425 22.0303 313.429
  44 0.435 22.8925 311.909
  45 0.445 22 308.966
  46 0.455 23.1658 305.235
  47 0.465 22.7776 302.963
  48 0.475 2.05762 301.713
  49 0.485 22.9989 299.697
  50 0.495 24 297.238
  51 0.505 24 296.498
  52 0.515 23.9996 295.467
  53 0.525 4.34343 295.661
  54 0.535 19.657 294.989
  55 0.545 24 294.806
  56 0.555 24 293.997
  57 0.565 24 293.412
  58 0.575 23.6952 292.753
  59 0.585 0.325334 292.489
  60 0.595 22.9795 291.344
  61 0.605 24 290.291
  62 0.615 24 289.283
  63 0.625 24 288.013
  64 0.635 11.5769 288.058
  65 0.645 12.4231 286.52
  66 0.655 23.0003 284.789
  67 0.665 23.9997 282.53
  68 0.675 23 279.715
  69 0.685 22.7763 277.282
  70 0.695 1.34217 269.786
  71 0.705 22.8815 273.985
  72 0.715 24 271.413
  73 0.725 24 269.369
  74 0.735 24 268.333
  75 0.745 12.6121 265.867
  76 0.755 10.3879 265.908
  77 0.765 24 264.408
  78 0.775 24 262.859
  79 0.785 24 261.423
  80 0.795 23.974 259.897
  81 0.805 2.48351 277.889
  82 0.815 21.5425 256.776
  83 0.825 22 255.125
  84 0.835 23.9908 252.539
  85 0.845 24.0092 250.838
  86 0.855 19.8603 249.508
  87 0.865 4.13974 246.01
  88 0.875 23 246.415
  89 0.885 24 244.401
  90 0.895 24 243.014
  91 0.905 24 241.641
  92 0.915 1.13827 240.303
  93 0.925 22.8618 240.38
  94 0.935 24 236.696
  95 0.945 24 225.494
  96 0.955 24 220.914
  97 0.965 23.9773 220.448
  98 0.975 0.0226628 223.903
  99 0.985 24 0
  100 0.995 24 0
