Time  E1  E2
0  -0  -0
2000  -4.02203511306544  6.23191121606062
4000  -10.9258458629509  12.6283899522928
6000  -15.9548912649754  17.95188230429
8000  -20.0466812701569  23.5744261990234
10000  -27.037819190747  27.2566390316044
12000  -29.3939940407468  33.1235501696236
14000  -37.6887635642677  38.4172541308577
16000  -39.811229695952  43.4076239969992
18000  -45.8187908341902  47.0604528222368
20000  -50.6929007305908  51.2216660082268
22000  -52.8304701718891  56.2542742044577
24000  -58.2073672575471  59.712872329154
26000  -60.9646924447995  65.8842896812543
28000  -68.1810701641103  69.7808986882782
30000  -69.7252799982538  76.0029938497885
32000  -76.989289824959  81.1976786177259
34000  -81.9696247808642  85.9488307653888
36000  -84.4739225696363  90.2809474822048
38000  -91.3015148426251  95.3242914968163
40000  -95.5232878131571  99.5776145563835
42000  -103.685732166741  105.021739189729
44000  -106.364596433704  111.388866631119
46000  -111.429704099258  114.143656656844
48000  -116.69733736506  120.193895476777
50000  -121.133007073596  123.516558741991
52000  -125.576274018713  126.963684930475
54000  -129.14913548335  132.596976598335
56000  -137.181589972036  136.921465164603
58000  -141.70716453015  141.943532524224
60000  -147.826266231438  146.904196555283
62000  -151.377662836638  151.582102634711
64000  -154.779021164029  156.448833162669
66000  -160.131294772129  160.84337211649
68000  -165.035378711058  167.602541943663
70000  -167.270800938461  170.729242067729
72000  -175.176590618966  174.570807732087
74000  -176.444782057449  180.388163445365
76000  -186.223214356938  184.355893392279
78000  -189.086244745805  188.206025630395
80000  -192.428692543087  192.078324178882
82000  -196.563619118912  196.479375960299
84000  -201.696697630366  201.011929630599
86000  -205.596716862868  207.277189418066
88000  -212.751393832723  211.196939499718
90000  -219.637964036114  217.616743639339
92000  -223.383141319627  223.27156639956
94000  -228.49928295712  226.618749553734
96000  -234.221201096533  232.045685277259
98000  -241.832938527452  236.132279251104
100000  -246.640699108067  240.837896079203
102000  -250.203299317782  244.548909516575
104000  -255.927899464094  251.478910444354
106000  -258.15142777549  256.582746296298
108000  -261.001234396399  261.333518979355
110000  -264.842745973547  267.49668928274
112000  -271.374365315389  273.348487125068
114000  -271.974542421465  278.064293545682
116000  -275.942552185028  281.843058034259
118000  -282.082147151824  287.35315072469
120000  -288.056725098684  291.33004908364
122000  -293.797657581052  294.621510113374
124000  -298.270661422964  298.535775893542
126000  -305.25470125327  306.483210777044
128000  -310.19359458943  309.807711371958
130000  -318.032263948439  314.582856275748
132000  -319.421766063132  319.800230682588
134000  -326.428837764363  327.353329003784
136000  -330.976242129393  329.059422170822
138000  -336.200363347791  336.531337050611
140000  -337.166980053021  339.230361885
142000  -342.021706887221  345.602329924348
144000  -348.762511686375  349.741312812654
146000  -354.619989522475  352.755967055061
148000  -360.345352916809  358.388696799336
150000  -364.920886003748  361.550420608418
152000  -371.825948862349  366.030131179027
154000  -374.05922817795  370.169259632874
156000  -378.063238594678  375.169963728913
158000  -381.590490486906  380.29443143385
160000  -385.718098413828  385.389146781566
162000  -391.651576320126  388.226907378182
164000  -394.497775823858  393.916674845244
166000  -396.166508488411  397.058792918566
168000  -402.591565424847  402.59175705312
170000  -406.481225835647  407.721995408647
172000  -410.227131706123  411.88002847104
174000  -414.499215083584  416.083807336286
176000  -421.465517508125  420.646627740217
178000  -430.922316065822  425.773983690022
180000  -431.122328493473  429.448033828182
182000  -435.513075398455  433.869061186186
184000  -442.428263882932  439.383821573469
186000  -446.024520756823  443.984390333305
188000  -450.793142643529  448.487273569036
190000  -457.144926057227  454.830457212773
192000  -459.152403078221  459.604565504761
194000  -465.402591326212  466.260597078832
196000  -471.056644302884  472.279454963303
198000  -474.626714229164  478.034415291163
200000  -481.324498073889  482.468919393442
202000  -483.415162017377  485.128881042096
204000  -489.965516375835  490.079589619632
206000  -496.706457423273  493.44009226606
208000  -498.7036810378  498.211397206147
210000  -501.468247913838  502.58873118867
212000  -508.895372999405  507.398908915148
214000  -511.776766174698  512.530567678618
216000  -517.365290935893  517.433138088793
218000  -521.892980662555  522.520169471788
220000  -526.106578843367  527.221789368727
222000  -530.69400273157  532.013968405787
224000  -536.338999655764  537.679779934304
