# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 97920
  1 0.005 984 0
  2 0.015 984 0
  3 0.025 961.7 399.714
  4 0.035 982.3 399.598
  5 0.045 984 399.737
  6 0.055 984 398.373
  7 0.065 981.27 374.097
  8 0.075 964.856 370.926
  9 0.085 981.881 368.175
  10 0.095 983.993 365.576
  11 0.105 983.899 363.164
  12 0.115 975.708 360.733
  13 0.125 970.108 358.736
  14 0.135 982.322 356.834
  15 0.145 983.962 354.463
  16 0.155 982.979 352.309
  17 0.165 972.325 350.225
  18 0.175 974.048 348.484
  19 0.185 982.671 346.741
  20 0.195 983.928 344.773
  21 0.205 981.353 342.786
  22 0.215 971.341 341.091
  23 0.225 976.474 339.069
  24 0.235 982.902 337.342
  25 0.245 983.75 335.41
  26 0.255 979.553 333.852
  27 0.265 971.938 332.379
  28 0.275 977.709 330.906
  29 0.285 983.059 329.277
  30 0.295 983.471 327.339
  31 0.305 978.164 325.473
  32 0.315 972.63 324.139
  33 0.325 978.724 322.532
  34 0.335 982.981 320.778
  35 0.345 983.17 319.076
  36 0.355 977.32 317.254
  37 0.365 973.265 315.584
  38 0.375 979.212 314.264
  39 0.385 983.014 312.467
  40 0.395 982.824 310.755
  41 0.405 976.813 309.241
  42 0.415 974.039 307.91
  43 0.425 979.159 306.547
  44 0.435 983.156 305.283
  45 0.445 982.636 303.637
  46 0.455 976.72 301.983
  47 0.465 974.104 300.466
  48 0.475 979.322 299.118
  49 0.485 983.203 297.632
  50 0.495 982.565 295.994
  51 0.505 976.971 294.385
  52 0.515 973.784 292.879
  53 0.525 979.532 291.463
  54 0.535 983.155 289.94
  55 0.545 982.658 288.572
  56 0.555 977.303 287.131
  57 0.565 973.51 285.651
  58 0.575 979.403 284.365
  59 0.585 983.131 282.786
  60 0.595 982.874 281.311
  61 0.605 977.897 279.902
  62 0.615 972.907 278.325
  63 0.625 979.242 277.073
  64 0.635 983.149 275.695
  65 0.645 983.089 274.291
  66 0.655 978.839 272.684
  67 0.665 972.355 271.09
  68 0.675 978.555 270.043
  69 0.685 983.198 268.468
  70 0.695 983.317 266.802
  71 0.705 979.905 265.267
  72 0.715 972.338 263.986
  73 0.725 977.253 262.552
  74 0.735 983.167 261.132
  75 0.745 983.693 259.525
  76 0.755 981.07 258.205
  77 0.765 972.393 256.865
  78 0.775 975.764 255.404
  79 0.785 983.066 254.094
  80 0.795 983.896 252.611
  81 0.805 982.411 250.91
  82 0.815 973.228 249.372
  83 0.825 973.4 248.206
  84 0.835 983.053 246.75
  85 0.845 983.965 245.345
  86 0.855 983.574 243.746
  87 0.865 975.824 241.934
  88 0.875 969.723 240.308
  89 0.885 982.891 238.677
  90 0.895 983.992 236.86
  91 0.905 983.993 234.989
  92 0.915 981.31 232.971
  93 0.925 963.944 230.733
  94 0.935 982.752 227.951
  95 0.945 984 201.15
  96 0.955 984 199.818
  97 0.965 983.985 199.796
  98 0.975 960.015 199.839
  99 0.985 984 0
  100 0.995 984 0
