# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9764.000000000002
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 95 399.026
  4 0.035 96 398.514
  5 0.045 95.0464 397.013
  6 0.055 96.4815 390.078
  7 0.065 111.274 369.848
  8 0.075 102.085 365.953
  9 0.085 96.1131 364.966
  10 0.095 96.0001 364.427
  11 0.105 96 363.703
  12 0.115 95 360.59
  13 0.125 96 358.644
  14 0.135 95 355.169
  15 0.145 96 353.181
  16 0.155 96 352.839
  17 0.165 96.0052 352.413
  18 0.175 96.7559 352.003
  19 0.185 104.34 351.046
  20 0.195 107.569 348.009
  21 0.205 98.2885 346.749
  22 0.215 96.0411 346.284
  23 0.225 96.0001 345.914
  24 0.235 96 345.573
  25 0.245 96 344.809
  26 0.255 95 342.445
  27 0.265 96 340.044
  28 0.275 96 339.214
  29 0.285 96.001 339.227
  30 0.295 96.2306 338.988
  31 0.305 101.141 338.64
  32 0.315 109.316 338.81
  33 0.325 101.033 338.413
  34 0.335 96.2764 338.047
  35 0.345 96.0021 337.464
  36 0.355 96 336.863
  37 0.365 96 336.625
  38 0.375 96 336.376
  39 0.385 95 334.498
  40 0.395 96 331.937
  41 0.405 96.0002 331.138
  42 0.415 96.0666 330.239
  43 0.425 97.2941 327.327
  44 0.435 107.427 325.434
  45 0.445 101.987 319.544
  46 0.455 96.1629 314.89
  47 0.465 97.0619 312.008
  48 0.475 96.001 311.479
  49 0.485 96 310.661
  50 0.495 95 308.726
  51 0.505 95.0005 303.545
  52 0.515 94.9995 298.071
  53 0.525 95 294.602
  54 0.535 96.0007 291.701
  55 0.545 96.1207 290.813
  56 0.555 99.4916 290.184
  57 0.565 104.988 287.059
  58 0.575 104.192 281.973
  59 0.585 96.1913 279.951
  60 0.595 96.0157 276.764
  61 0.605 96.0001 275.657
  62 0.615 96 275.5
  63 0.625 96 274.987
  64 0.635 96 274.671
  65 0.645 96.01 274.29
  66 0.655 94.99 271.786
  67 0.665 96.0123 269.97
  68 0.675 96.9021 269.512
  69 0.685 102.073 267.617
  70 0.695 109.109 265.036
  71 0.705 98.8456 264.291
  72 0.715 96.0578 263.996
  73 0.725 96.0001 263.953
  74 0.735 96 263.674
  75 0.745 96 263.454
  76 0.755 96 263.126
  77 0.765 96 262.621
  78 0.775 95 261.427
  79 0.785 96.0001 258.292
  80 0.795 96.1273 257.312
  81 0.805 101.849 256.622
  82 0.815 108.223 253.196
  83 0.825 98.5986 249.735
  84 0.835 97.2015 246.558
  85 0.845 96.0008 245.722
  86 0.855 96 245.522
  87 0.865 95 243.136
  88 0.875 95 237.842
  89 0.885 96 234.951
  90 0.895 95 232.71
  91 0.905 96 229.985
  92 0.915 96 228.926
  93 0.925 96.1683 228.448
  94 0.935 108.876 226.714
  95 0.945 106.928 210.935
  96 0.955 96.0277 202.946
  97 0.965 96 201.061
  98 0.975 96 200.507
  99 0.985 96 0
  100 0.995 96 0
